
|   ID  |    x    |      y     |
| 36452 | 1.65001 | -112.03005 |
| 36452 | 1.65101 | -110.79192 |
| 36452 | 1.65201 | -109.58447 |
| 36452 | 1.65301 | -108.40659 |
| 36452 | 1.65401 | -107.25721 |
| 36452 | 1.65501 | -106.13531 |
| 36452 | 1.65601 | -105.03992 |
| 36452 | 1.65701 | -103.97012 |
| 36452 | 1.65801 | -102.92504 |
| 36452 | 1.65901 | -101.90384 |
| 36452 | 1.66001 | -100.90572 |
| 36452 | 1.66101 |  -99.92990 |
| 36452 | 1.66201 |  -98.97564 |
| 36452 | 1.66301 |  -98.04224 |
| 36452 | 1.66401 |  -97.12907 |
| 36452 | 1.66501 |  -96.23544 |
| 36452 | 1.66601 |  -95.36075 |
| 36452 | 1.66701 |  -94.50439 |
| 36452 | 1.66801 |  -93.66583 |
| 36452 | 1.66901 |  -92.84450 |
| 36452 | 1.67001 |  -92.03989 |
| 36452 | 1.67101 |  -91.25151 |
| 36452 | 1.67201 |  -90.47887 |
| 36452 | 1.67301 |  -89.72149 |
| 36452 | 1.67401 |  -88.97894 |
| 36452 | 1.67501 |  -88.25081 |
| 36452 | 1.67601 |  -87.53666 |
| 36452 | 1.67701 |  -86.83612 |
| 36452 | 1.67801 |  -86.14879 |
| 36452 | 1.67901 |  -85.47432 |
| 36452 | 1.68001 |  -84.81235 |
| 36452 | 1.68101 |  -84.16253 |
| 36452 | 1.68201 |  -83.52455 |
| 36452 | 1.68301 |  -82.89808 |
| 36452 | 1.68401 |  -82.28283 |
| 36452 | 1.68501 |  -81.67849 |
| 36452 | 1.68601 |  -81.08479 |
| 36452 | 1.68701 |  -80.50145 |
| 36452 | 1.68801 |  -79.92819 |
| 36452 | 1.68901 |  -79.36478 |
| 36452 | 1.69001 |  -78.81095 |
| 36452 | 1.69101 |  -78.26647 |
| 36452 | 1.69201 |  -77.73112 |
| 36452 | 1.69301 |  -77.20464 |
| 36452 | 1.69401 |  -76.68687 |
| 36452 | 1.69501 |  -76.17757 |
| 36452 | 1.69601 |  -75.67651 |
| 36452 | 1.69701 |  -75.18353 |
| 36452 | 1.69801 |  -74.69845 |
| 36452 | 1.69901 |  -74.22105 |
| 36452 | 1.70001 |  -73.75117 |
| 36452 | 1.70101 |  -73.28864 |
| 36452 | 1.70201 |  -72.83327 |
| 36452 | 1.70301 |  -72.38493 |
| 36452 | 1.70401 |  -71.94344 |
| 36452 | 1.70501 |  -71.50865 |
| 36452 | 1.70601 |  -71.08042 |
| 36452 | 1.70701 |  -70.65861 |
| 36452 | 1.70801 |  -70.24305 |
| 36452 | 1.70901 |  -69.83364 |
| 36452 | 1.71001 |  -69.43022 |
| 36452 | 1.71101 |  -69.03269 |
| 36452 | 1.71201 |  -68.64090 |
| 36452 | 1.71301 |  -68.25474 |
| 36452 | 1.71401 |  -67.87409 |
| 36452 | 1.71501 |  -67.49884 |
| 36452 | 1.71601 |  -67.12888 |
| 36452 | 1.71701 |  -66.76408 |
| 36452 | 1.71801 |  -66.40437 |
| 36452 | 1.71901 |  -66.04961 |
| 36452 | 1.72001 |  -65.69973 |
| 36452 | 1.72101 |  -65.35461 |
| 36452 | 1.72201 |  -65.01418 |
| 36452 | 1.72301 |  -64.67834 |
| 36452 | 1.72401 |  -64.34698 |
| 36452 | 1.72501 |  -64.02004 |
| 36452 | 1.72601 |  -63.69742 |
| 36452 | 1.72701 |  -63.37904 |
| 36452 | 1.72801 |  -63.06482 |
| 36452 | 1.72901 |  -62.75468 |
| 36452 | 1.73001 |  -62.44854 |
| 36452 | 1.73101 |  -62.14634 |
| 36452 | 1.73201 |  -61.84799 |
| 36452 | 1.73301 |  -61.55342 |
| 36452 | 1.73401 |  -61.26258 |
| 36452 | 1.73501 |  -60.97537 |
| 36452 | 1.73601 |  -60.69175 |
| 36452 | 1.73701 |  -60.41166 |
| 36452 | 1.73801 |  -60.13500 |
| 36452 | 1.73901 |  -59.86175 |
| 36452 | 1.74001 |  -59.59183 |
| 36452 | 1.74101 |  -59.32518 |
| 36452 | 1.74201 |  -59.06175 |
