
|   ID  |    x    |      y     |
|  3278 | 0.52600 |    1.09642 |
|  3276 | 0.05800 |    0.06166 |
|  3277 | 0.30600 |    0.44915 |
|  3279 | 0.75900 |    2.44282 |
|  3278 | 0.52700 |    1.10039 |
|  3276 | 0.05900 |    0.06280 |
|  3277 | 0.30700 |    0.45128 |
|  3279 | 0.76000 |    2.45100 |
|  3278 | 0.52800 |    1.10438 |
|  3276 | 0.06000 |    0.06393 |
|  3277 | 0.30800 |    0.45342 |
|  3279 | 0.76100 |    2.45921 |
|  3278 | 0.52900 |    1.10838 |
|  3276 | 0.06100 |    0.06507 |
|  3277 | 0.30900 |    0.45556 |
|  3279 | 0.76200 |    2.46745 |
|  3278 | 0.53000 |    1.11239 |
|  3276 | 0.06200 |    0.06621 |
|  3277 | 0.31000 |    0.45771 |
|  3279 | 0.76300 |    2.47572 |
|  3278 | 0.53100 |    1.11641 |
|  3276 | 0.06300 |    0.06735 |
|  3277 | 0.31100 |    0.45986 |
|  3279 | 0.76400 |    2.48401 |
|  3278 | 0.53200 |    1.12044 |
|  3276 | 0.06400 |    0.06850 |
|  3277 | 0.31200 |    0.46202 |
|  3279 | 0.76500 |    2.49233 |
|  3278 | 0.53300 |    1.12449 |
|  3276 | 0.06500 |    0.06965 |
|  3277 | 0.31300 |    0.46418 |
|  3279 | 0.76600 |    2.50067 |
|  3278 | 0.53400 |    1.12855 |
|  3276 | 0.06600 |    0.07080 |
|  3277 | 0.31400 |    0.46636 |
|  3279 | 0.76700 |    2.50905 |
|  3278 | 0.53500 |    1.13262 |
|  3276 | 0.06700 |    0.07195 |
|  3277 | 0.31500 |    0.46853 |
|  3279 | 0.76800 |    2.51745 |
|  3278 | 0.53600 |    1.13670 |
|  3276 | 0.06800 |    0.07311 |
|  3277 | 0.31600 |    0.47072 |
|  3279 | 0.76900 |    2.52588 |
|  3278 | 0.53700 |    1.14079 |
|  3276 | 0.06900 |    0.07427 |
|  3277 | 0.31700 |    0.47290 |
|  3279 | 0.77000 |    2.53434 |
|  3278 | 0.53800 |    1.14490 |
|  3276 | 0.07000 |    0.07543 |
|  3277 | 0.31800 |    0.47510 |
|  3279 | 0.77100 |    2.54283 |
|  3278 | 0.53900 |    1.14901 |
|  3276 | 0.07100 |    0.07659 |
|  3277 | 0.31900 |    0.47730 |
|  3279 | 0.77200 |    2.55134 |
|  3278 | 0.54000 |    1.15314 |
|  3276 | 0.07200 |    0.07776 |
|  3277 | 0.32000 |    0.47951 |
|  3279 | 0.77300 |    2.55989 |
|  3278 | 0.54100 |    1.15729 |
|  3276 | 0.07300 |    0.07893 |
|  3277 | 0.32100 |    0.48172 |
|  3279 | 0.77400 |    2.56846 |
|  3278 | 0.54200 |    1.16144 |
|  3276 | 0.07400 |    0.08010 |
|  3277 | 0.32200 |    0.48394 |
|  3279 | 0.77500 |    2.57706 |
|  3278 | 0.54300 |    1.16561 |
|  3276 | 0.07500 |    0.08128 |
|  3277 | 0.32300 |    0.48617 |
|  3279 | 0.77600 |    2.58569 |
|  3278 | 0.54400 |    1.16979 |
|  3276 | 0.07600 |    0.08245 |
|  3277 | 0.32400 |    0.48840 |
|  3279 | 0.77700 |    2.59435 |
|  3278 | 0.54500 |    1.17398 |
|  3276 | 0.07700 |    0.08363 |
